timestamp,event type,value,duration of event,
13:03:51.636,Viewed suggested questions (blue card) for:,Pyruvate is the link between glycolysis and further oxidative reactions (see Figure 9.4).,0.356,
13:03:51.992,Closed suggested questions (blue) card.,,34.182,
13:04:26.174,Created highlight:,The overall reaction is exergonic in which one molecule of NAD+ is reduced to NADH,0.044,
13:04:26.218,Viewed note card for:,The overall reaction is exergonic in which one molecule of NAD+ is reduced to NADH,0.003,
13:04:26.221,Viewed suggested questions (blue card) for:,The overall reaction is exergonic in which one molecule of NAD+ is reduced to NADH,0.447,
13:04:26.668,Closed suggested questions (blue) card.,,11.573,
13:04:38.241,Created highlight:,However the main role of acetyl CoA is to donate its acetyl group to the four-carbon compound oxaloacetate forming the six-carbon molecule citrate. This initiates the citric acid cycle one of life’s most important energy-harvesting pathways.,0.04,
13:04:38.281,Viewed note card for:,However the main role of acetyl CoA is to donate its acetyl group to the four-carbon compound oxaloacetate forming the six-carbon molecule citrate. This initiates the citric acid cycle one of life’s most important energy-harvesting pathways.,0.003,
13:04:38.284,Viewed suggested questions (blue card) for:,However the main role of acetyl CoA is to donate its acetyl group to the four-carbon compound oxaloacetate forming the six-carbon molecule citrate. This initiates the citric acid cycle one of life’s most important energy-harvesting pathways.,0.486,
13:04:38.770,Closed suggested questions (blue) card.,,89.83,
13:06:08.600,Created highlight:,Acetyl CoA is the starting point for the citric acid cycle,0.039,
13:06:08.639,Viewed note card for:,Acetyl CoA is the starting point for the citric acid cycle,0.002,
13:06:08.641,Viewed suggested questions (blue card) for:,Acetyl CoA is the starting point for the citric acid cycle,6.978,
13:06:15.619,Closed suggested questions (blue) card.,,64.59,
13:07:20.209,Created highlight:,The free energy released from these reactions is captured by GDP (guanosine diphosphate) and the electron carriers NAD+ and FAD (Figure 9.6),0.04,
13:07:20.249,Viewed note card for:,The free energy released from these reactions is captured by GDP (guanosine diphosphate) and the electron carriers NAD+ and FAD (Figure 9.6),0.003,
13:07:20.252,Viewed suggested questions (blue card) for:,The free energy released from these reactions is captured by GDP (guanosine diphosphate) and the electron carriers NAD+ and FAD (Figure 9.6),0.56,
13:07:20.812,Closed suggested questions (blue) card.,,16.385,
13:07:37.197,Created highlight:,This is a cycle because the starting material oxaloacetate is regenerated in the last step and is ready to accept another acetate group from acetyl CoA.,0.04,
13:07:37.237,Viewed note card for:,This is a cycle because the starting material oxaloacetate is regenerated in the last step and is ready to accept another acetate group from acetyl CoA.,0.003,
13:07:37.240,Viewed suggested questions (blue card) for:,This is a cycle because the starting material oxaloacetate is regenerated in the last step and is ready to accept another acetate group from acetyl CoA.,0.599,
13:07:37.839,Closed suggested questions (blue) card.,,6.335,
13:07:44.174,Viewed glossary popup:,Acetyl-CoA,23.54,
13:08:07.714,App stopped.,,144.322,
13:10:32.036,Logging started.,,78.684,
13:11:50.720,Open image/cmap:,figure9-6,2.675,
13:11:53.395,Closed image/cmap.,,12.184,
13:12:05.579,Created highlight:,The Citric Acid Cycle,0.175,
13:12:05.754,Viewed note card for:,The Citric Acid Cycle,0.015,
13:12:05.769,Viewed suggested questions (blue card) for:,The Citric Acid Cycle,1.408,
13:12:07.177,Closed suggested questions (blue) card.,,0.001,
13:12:07.178,Viewed note card for:,The Citric Acid Cycle,0.782,
13:12:07.960,Started editing note card for:,The Citric Acid Cycle,18.187,
13:12:26.147,Edited note card:,En runda för varje pyruvat molekyl,0.015,
13:12:26.162,Closed note card.,,19.96,
13:12:46.122,Viewed glossary popup:,Exergonic-Process,4.115,
13:12:50.237,Viewed glossary popup:,NAD-Plus,35.202,
13:13:25.439,Created highlight:,the citric acid cycle harvests a great deal of chemical energy from the oxidation of acetyl CoA.,0.035,
13:13:25.474,Viewed note card for:,the citric acid cycle harvests a great deal of chemical energy from the oxidation of acetyl CoA.,0.004,
13:13:25.478,Viewed suggested questions (blue card) for:,the citric acid cycle harvests a great deal of chemical energy from the oxidation of acetyl CoA.,0.796,
13:13:26.274,Closed suggested questions (blue) card.,,10.31,
13:13:36.584,Created highlight:,The inputs to the citric acid cycle are acetate,0.038,
13:13:36.622,Viewed note card for:,The inputs to the citric acid cycle are acetate,0.002,
13:13:36.624,Viewed suggested questions (blue card) for:,The inputs to the citric acid cycle are acetate,1.801,
13:13:38.425,Closed suggested questions (blue) card.,,3.694,
13:13:42.119,Created highlight:,water GDP and the oxidized electron carriers NAD+ and FAD.,0.039,
13:13:42.158,Viewed note card for:,water GDP and the oxidized electron carriers NAD+ and FAD.,0.003,
13:13:42.161,Viewed suggested questions (blue card) for:,water GDP and the oxidized electron carriers NAD+ and FAD.,0.795,
13:13:42.956,Closed suggested questions (blue) card.,,18.038,
13:14:00.994,Created highlight:,The outputs are carbon dioxide,0.037,
13:14:01.031,Viewed note card for:,The outputs are carbon dioxide,0.003,
13:14:01.034,Viewed suggested questions (blue card) for:,The outputs are carbon dioxide,0.584,
13:14:01.618,Closed suggested questions (blue) card.,,6.568,
13:14:08.186,Created highlight:,NADH and FADH2),0.041,
13:14:08.227,Viewed note card for:,NADH and FADH2),0.003,
13:14:08.230,Viewed suggested questions (blue card) for:,NADH and FADH2),1.569,
13:14:09.799,Closed suggested questions (blue) card.,,3.243,
13:14:13.042,Created highlight:,a small amount of GTP.,0.036,
13:14:13.078,Viewed note card for:,a small amount of GTP.,0.003,
13:14:13.081,Viewed suggested questions (blue card) for:,a small amount of GTP.,0.441,
13:14:13.522,Closed suggested questions (blue) card.,,5.008,
13:14:18.530,Viewed glossary popup:,Glucose,0.818,
13:14:19.348,Viewed glossary popup:,Glycolysis,7.962,
13:14:27.310,Created highlight:,Thus the citric acid cycle releases two carbons as CO2 and produces four reduced electron carrier molecules.,0.045,
13:14:27.355,Viewed note card for:,Thus the citric acid cycle releases two carbons as CO2 and produces four reduced electron carrier molecules.,0.003,
13:14:27.358,Viewed suggested questions (blue card) for:,Thus the citric acid cycle releases two carbons as CO2 and produces four reduced electron carrier molecules.,1.098,
13:14:28.456,Closed suggested questions (blue) card.,,14.989,
13:14:43.445,Created highlight:,molecule of glucose that is oxidized,0.041,
13:14:43.486,Viewed note card for:,molecule of glucose that is oxidized,0.003,
13:14:43.489,Viewed suggested questions (blue card) for:,molecule of glucose that is oxidized,0.588,
13:14:44.077,Closed suggested questions (blue) card.,,6.317,
13:14:50.394,Created highlight:,two molecules of pyruvate are produced during glycolysis and after oxidation these feed two turns of the citric acid cycle,0.041,
13:14:50.435,Viewed note card for:,two molecules of pyruvate are produced during glycolysis and after oxidation these feed two turns of the citric acid cycle,0.003,
13:14:50.438,Viewed suggested questions (blue card) for:,two molecules of pyruvate are produced during glycolysis and after oxidation these feed two turns of the citric acid cycle,0.54,
13:14:50.978,Closed suggested questions (blue) card.,,30.442,
13:15:21.420,Created highlight:,So the oxidation of one glucose molecule yields:,0.037,
13:15:21.457,Viewed note card for:,So the oxidation of one glucose molecule yields:,0.002,
13:15:21.459,Viewed suggested questions (blue card) for:,So the oxidation of one glucose molecule yields:,0.39,
13:15:21.849,Closed suggested questions (blue) card.,,2.812,
13:15:24.661,Created highlight:,Six CO2,0.042,
13:15:24.703,Viewed note card for:,Six CO2,0.003,
13:15:24.706,Viewed suggested questions (blue card) for:,Six CO2,0.757,
13:15:25.463,Closed suggested questions (blue) card.,,4.371,
13:15:29.834,Created highlight:,Ten NADH (two in glycolysis two in pyruvate oxidation and six in the citric acid cycle),0.041,
13:15:29.875,Viewed note card for:,Ten NADH (two in glycolysis two in pyruvate oxidation and six in the citric acid cycle),0.003,
13:15:29.878,Viewed suggested questions (blue card) for:,Ten NADH (two in glycolysis two in pyruvate oxidation and six in the citric acid cycle),3.145,
13:15:33.023,Created highlight:,Two FADH2,0.037,
13:15:33.060,Closed suggested questions (blue) card.,,0.002,
13:15:33.062,Viewed note card for:,Two FADH2,0.002,
13:15:33.064,Viewed suggested questions (blue card) for:,Two FADH2,0.504,
13:15:33.568,Closed suggested questions (blue) card.,,0.035,
13:15:33.603,Viewed glossary popup:,ATP,7.468,
13:15:41.071,Created highlight:,Four ATP,0.037,
13:15:41.108,Viewed note card for:,Four ATP,0.002,
13:15:41.110,Viewed suggested questions (blue card) for:,Four ATP,0.448,
13:15:41.558,Closed suggested questions (blue) card.,,33.402,
13:16:14.960,Viewed glossary popup:,Electron-Carrier,37.272,
13:16:52.232,Viewed glossary popup:,Glycolysis,7.183,
13:16:59.415,Created highlight:,a three-carbon molecule is completely oxidized to CO2 by pyruvate dehydrogenase and the citric acid cycle,0.045,
13:16:59.460,Viewed note card for:,a three-carbon molecule is completely oxidized to CO2 by pyruvate dehydrogenase and the citric acid cycle,0.003,
13:16:59.463,Viewed suggested questions (blue card) for:,a three-carbon molecule is completely oxidized to CO2 by pyruvate dehydrogenase and the citric acid cycle,0.786,
13:17:00.249,Closed suggested questions (blue) card.,,9.015,
13:17:09.264,Created highlight:,acetyl CoA and oxidized electron carriers—must all be replenished,0.045,
13:17:09.309,Viewed note card for:,acetyl CoA and oxidized electron carriers—must all be replenished,0.002,
13:17:09.311,Viewed suggested questions (blue card) for:,acetyl CoA and oxidized electron carriers—must all be replenished,0.392,
13:17:09.703,Closed suggested questions (blue) card.,,29.525,
13:17:39.228,Created highlight:,When it is present O2 is the molecule that eventually accepts these electrons and it is reduced to form H2O.,0.03,
13:17:39.258,Viewed note card for:,When it is present O2 is the molecule that eventually accepts these electrons and it is reduced to form H2O.,0.002,
13:17:39.260,Viewed suggested questions (blue card) for:,When it is present O2 is the molecule that eventually accepts these electrons and it is reduced to form H2O.,0.462,
13:17:39.722,Closed suggested questions (blue) card.,,0.401,
13:17:40.123,Open image/cmap:,unfig9_21,1.434,
13:17:41.557,Closed image/cmap.,,240.8,
13:21:42.357,Viewed glossary popup:,Citric-Acid-Cycle,33.803,
13:22:16.160,Open page:,chapter9-3,119.977,
13:24:16.137,App stopped.,,16.119,
13:24:32.256,Logging started.,,238.645,
13:28:30.901,App stopped.,,118.764,
13:30:29.665,Logging started.,,18.171,
13:30:47.836,Created highlight:,The electrons from NADH and FADH2 pass through the respiratory chain a series of membrane-associated electron carriers,0.24,
13:30:48.076,Viewed note card for:,The electrons from NADH and FADH2 pass through the respiratory chain a series of membrane-associated electron carriers,0.015,
13:30:48.091,Viewed suggested questions (blue card) for:,The electrons from NADH and FADH2 pass through the respiratory chain a series of membrane-associated electron carriers,0.596,
13:30:48.687,Closed suggested questions (blue) card.,,3.014,
13:30:51.701,Viewed note card for:,The electrons from NADH and FADH2 pass through the respiratory chain a series of membrane-associated electron carriers,0.898,
13:30:52.599,Viewed suggested questions (blue card) for:,The electrons from NADH and FADH2 pass through the respiratory chain a series of membrane-associated electron carriers,5.598,
13:30:58.197,Asked question (blue SQ card):,What is the relationship between FADH2 and NADH?,3.378,
13:31:01.575,Answered question:,What is the relationship between FADH2 and NADH?,0.032,
13:31:01.607,Open answer page:,What-is-the-relationship-between-FADH2-and-NADH-,50.817,
13:31:52.424,Open page:,chapter9-3,43.992,
13:32:36.416,Created highlight:,flow of electrons along this pathway results in the active transport of protons out of the mitochondrial matrix and across the inner mitochondrial membrane creating a proton concentration gradient.,0.032,
13:32:36.448,Viewed note card for:,flow of electrons along this pathway results in the active transport of protons out of the mitochondrial matrix and across the inner mitochondrial membrane creating a proton concentration gradient.,0.003,
13:32:36.451,Viewed suggested questions (blue card) for:,flow of electrons along this pathway results in the active transport of protons out of the mitochondrial matrix and across the inner mitochondrial membrane creating a proton concentration gradient.,7.895,
13:32:44.346,Closed suggested questions (blue) card.,,15.187,
13:32:59.533,Viewed glossary popup:,Mitochondrial-Matrix,30.209,
13:33:29.742,Created highlight:,The protons diffuse back into the mitochondrial matrix through a channel protein ATP synthase which couples this diffusion to the synthesis of ATP.,0.034,
13:33:29.776,Viewed note card for:,The protons diffuse back into the mitochondrial matrix through a channel protein ATP synthase which couples this diffusion to the synthesis of ATP.,0.002,
13:33:29.778,Viewed suggested questions (blue card) for:,The protons diffuse back into the mitochondrial matrix through a channel protein ATP synthase which couples this diffusion to the synthesis of ATP.,1.728,
13:33:31.506,Closed suggested questions (blue) card.,,20.542,
13:33:52.048,Created highlight:,the inner mitochondrial membrane is normally impermeable to protons so the only way for them to follow their concentration gradient is through the channel.,0.038,
13:33:52.086,Viewed note card for:,the inner mitochondrial membrane is normally impermeable to protons so the only way for them to follow their concentration gradient is through the channel.,0.002,
13:33:52.088,Viewed suggested questions (blue card) for:,the inner mitochondrial membrane is normally impermeable to protons so the only way for them to follow their concentration gradient is through the channel.,0.53,
13:33:52.618,Closed suggested questions (blue) card.,,21.867,
13:34:14.485,Created highlight:,The answer is that this reaction would simply release too much energy to be efficiently trapped to make ATP,0.042,
13:34:14.527,Viewed note card for:,The answer is that this reaction would simply release too much energy to be efficiently trapped to make ATP,0.003,
13:34:14.530,Viewed suggested questions (blue card) for:,The answer is that this reaction would simply release too much energy to be efficiently trapped to make ATP,2.021,
13:34:16.551,Closed suggested questions (blue) card.,,25.271,
13:34:41.822,Created highlight:,Oxidizing NADH to NAD+ is extremely exergonic—doing it in one step would be like setting off a stick of dynamite in the cell,0.039,
13:34:41.861,Viewed note card for:,Oxidizing NADH to NAD+ is extremely exergonic—doing it in one step would be like setting off a stick of dynamite in the cell,0.003,
13:34:41.864,Viewed suggested questions (blue card) for:,Oxidizing NADH to NAD+ is extremely exergonic—doing it in one step would be like setting off a stick of dynamite in the cell,1.746,
13:34:43.610,Closed suggested questions (blue) card.,,13.118,
13:34:56.728,Created highlight:,To control the release of energy during the oxidation of glucose cells have evolved a lengthy respiratory chain: a series of reactions each of which releases a small amount of energy one step at a time.,0.046,
13:34:56.774,Viewed note card for:,To control the release of energy during the oxidation of glucose cells have evolved a lengthy respiratory chain: a series of reactions each of which releases a small amount of energy one step at a time.,0.003,
13:34:56.777,Viewed suggested questions (blue card) for:,To control the release of energy during the oxidation of glucose cells have evolved a lengthy respiratory chain: a series of reactions each of which releases a small amount of energy one step at a time.,1.117,
13:34:57.894,Closed suggested questions (blue) card.,,13.739,
13:35:11.633,Viewed note card for:,The answer is that this reaction would simply release too much energy to be efficiently trapped to make ATP,0.959,
13:35:12.592,Started editing note card for:,The answer is that this reaction would simply release too much energy to be efficiently trapped to make ATP,42.595,
13:35:55.187,Edited note card:,Etp leder till energi kommer att frigöras i mindre omgångar istället för allting på en gång,0.006,
13:35:55.193,Closed note card.,,34.809,
13:36:30.002,Created highlight:,The respiratory chain is located in the inner mitochondrial membrane.,0.037,
13:36:30.039,Viewed note card for:,The respiratory chain is located in the inner mitochondrial membrane.,0.003,
13:36:30.042,Viewed suggested questions (blue card) for:,The respiratory chain is located in the inner mitochondrial membrane.,0.378,
13:36:30.420,Closed suggested questions (blue) card.,,2.25,
13:36:32.670,Viewed glossary popup:,Electron-Transport-Chain,76.851,
13:37:49.521,App stopped.,,10.32,
13:37:59.841,Logging started.,,85.326,
13:39:25.167,App stopped.,,110.398,
13:41:15.565,Logging started.,,170.904,
13:44:06.469,Created highlight:,Four large protein complexes (I II III and IV) contain electron carriers and associated enzymes,0.237,
13:44:06.706,Viewed note card for:,Four large protein complexes (I II III and IV) contain electron carriers and associated enzymes,0.015,
13:44:06.721,Viewed suggested questions (blue card) for:,Four large protein complexes (I II III and IV) contain electron carriers and associated enzymes,0.738,
13:44:07.459,Closed suggested questions (blue) card.,,10.344,
13:44:17.803,Created highlight:,Cytochrome c is a small peripheral protein that lies in the intermembrane space,0.039,
13:44:17.842,Viewed note card for:,Cytochrome c is a small peripheral protein that lies in the intermembrane space,0.002,
13:44:17.844,Viewed suggested questions (blue card) for:,Cytochrome c is a small peripheral protein that lies in the intermembrane space,0.344,
13:44:18.188,Closed suggested questions (blue) card.,,7.705,
13:44:25.893,Created highlight:,Ubiquinone,0.038,
13:44:25.931,Viewed note card for:,Ubiquinone,0.003,
13:44:25.934,Viewed suggested questions (blue card) for:,Ubiquinone,0.667,
13:44:26.601,Closed suggested questions (blue) card.,,5.627,
13:44:32.228,Created highlight:,is a small nonpolar lipid molecule that moves freely within the hydrophobic interior of the phospholipid bilayer of the inner mitochondrial membrane.,0.04,
13:44:32.268,Viewed note card for:,is a small nonpolar lipid molecule that moves freely within the hydrophobic interior of the phospholipid bilayer of the inner mitochondrial membrane.,0.003,
13:44:32.271,Viewed suggested questions (blue card) for:,is a small nonpolar lipid molecule that moves freely within the hydrophobic interior of the phospholipid bilayer of the inner mitochondrial membrane.,0.336,
13:44:32.607,Closed suggested questions (blue) card.,,0.032,
13:44:32.639,Viewed glossary popup:,Protein-Complex,20.945,
13:44:53.584,Created highlight:,NADH passes electrons to protein complex I (called NADH-Q reductase) which in turn passes the electrons to Q.,0.041,
13:44:53.625,Viewed note card for:,NADH passes electrons to protein complex I (called NADH-Q reductase) which in turn passes the electrons to Q.,0.002,
13:44:53.627,Viewed suggested questions (blue card) for:,NADH passes electrons to protein complex I (called NADH-Q reductase) which in turn passes the electrons to Q.,0.732,
13:44:54.359,Closed suggested questions (blue) card.,,0.673,
13:44:55.032,Viewed glossary popup:,Protein-Complex,38.245,
13:45:33.277,Created highlight:,Notice that four protons (H+) are also consumed in this reaction,0.046,
13:45:33.323,Viewed note card for:,Notice that four protons (H+) are also consumed in this reaction,0.003,
13:45:33.326,Viewed suggested questions (blue card) for:,Notice that four protons (H+) are also consumed in this reaction,0.918,
13:45:34.244,Closed suggested questions (blue) card.,,23.441,
13:45:57.685,Created highlight:,This contributes to the proton concentration gradient across the inner mitochondrial membrane by reducing the proton concentration in the mitochondrial matrix.,0.046,
13:45:57.731,Viewed note card for:,This contributes to the proton concentration gradient across the inner mitochondrial membrane by reducing the proton concentration in the mitochondrial matrix.,0.003,
13:45:57.734,Viewed suggested questions (blue card) for:,This contributes to the proton concentration gradient across the inner mitochondrial membrane by reducing the proton concentration in the mitochondrial matrix.,0.357,
13:45:58.091,Closed suggested questions (blue) card.,,40.668,
13:46:38.759,App stopped.,,10.247,
13:46:49.006,Logging started.,,64.888,
13:47:53.894,Created highlight:,During electron transport protons are also actively transported across the membrane: electron transport within each of the three transmembrane complexes (I III and IV) results in the transfer of protons from the matrix to the intermembrane space,0.166,
13:47:54.060,Viewed note card for:,During electron transport protons are also actively transported across the membrane: electron transport within each of the three transmembrane complexes (I III and IV) results in the transfer of protons from the matrix to the intermembrane space,0.01,
13:47:54.070,Viewed suggested questions (blue card) for:,During electron transport protons are also actively transported across the membrane: electron transport within each of the three transmembrane complexes (I III and IV) results in the transfer of protons from the matrix to the intermembrane space,1.106,
13:47:55.176,Closed suggested questions (blue) card.,,40.482,
13:48:35.658,Created highlight:,These two gradients—of concentration and charge—set up a proton-motive force which is a key factor in energy metabolism in cells: The gradient of H+ across the inner membrane is a source of potential energy.,0.04,
13:48:35.698,Viewed note card for:,These two gradients—of concentration and charge—set up a proton-motive force which is a key factor in energy metabolism in cells: The gradient of H+ across the inner membrane is a source of potential energy.,0.002,
13:48:35.700,Viewed suggested questions (blue card) for:,These two gradients—of concentration and charge—set up a proton-motive force which is a key factor in energy metabolism in cells: The gradient of H+ across the inner membrane is a source of potential energy.,0.814,
13:48:36.514,Closed suggested questions (blue) card.,,12.74,
13:48:49.254,Created highlight:,transfer of H+ across it through the electron transport chain sets up a gradient with the concentration of H+ in the intermembrane space higher than in the matrix,0.039,
13:48:49.293,Viewed note card for:,transfer of H+ across it through the electron transport chain sets up a gradient with the concentration of H+ in the intermembrane space higher than in the matrix,0.003,
13:48:49.296,Viewed suggested questions (blue card) for:,transfer of H+ across it through the electron transport chain sets up a gradient with the concentration of H+ in the intermembrane space higher than in the matrix,0.575,
13:48:49.871,Closed suggested questions (blue) card.,,9.149,
13:48:59.020,App stopped.,,364.574,
13:55:03.594,Logging started.,,88.467,
13:56:32.061,Created highlight:,The answer is that another protein ATP synthase allows the H+ to diffuse back into the matrix down its concentration gradient.,0.238,
13:56:32.299,Viewed note card for:,The answer is that another protein ATP synthase allows the H+ to diffuse back into the matrix down its concentration gradient.,0.015,
13:56:32.314,Viewed suggested questions (blue card) for:,The answer is that another protein ATP synthase allows the H+ to diffuse back into the matrix down its concentration gradient.,1.283,
13:56:33.597,Closed suggested questions (blue) card.,,0.001,
13:56:33.598,Viewed note card for:,The answer is that another protein ATP synthase allows the H+ to diffuse back into the matrix down its concentration gradient.,0.834,
13:56:34.432,Started editing note card for:,The answer is that another protein ATP synthase allows the H+ to diffuse back into the matrix down its concentration gradient.,66.725,
13:57:41.157,Edited note card:,H+ tar sig tillbaka genom diffusion till Matrix om mitokondrien... dock genom ett specifikt proteinkomplex,0.012,
13:57:41.169,Closed note card.,,50.481,
13:58:31.650,Created highlight:,The coupling of the proton-motive force and ATP synthesis is called the chemiosmotic mechanism—or chemiosmosis—and is found in all respiring cells.,0.041,
13:58:31.691,Viewed note card for:,The coupling of the proton-motive force and ATP synthesis is called the chemiosmotic mechanism—or chemiosmosis—and is found in all respiring cells.,0.003,
13:58:31.694,Viewed suggested questions (blue card) for:,The coupling of the proton-motive force and ATP synthesis is called the chemiosmotic mechanism—or chemiosmosis—and is found in all respiring cells.,0.441,
13:58:32.135,Closed suggested questions (blue) card.,,1.367,
13:58:33.502,Viewed note card for:,The coupling of the proton-motive force and ATP synthesis is called the chemiosmotic mechanism—or chemiosmosis—and is found in all respiring cells.,1.699,
13:58:35.201,Closed note card.,,0.05,
13:58:35.251,Viewed glossary popup:,Chemiosmosis,32.364,
13:59:07.615,Created highlight:,To summarize the energy originally contained in glucose and other fuel molecules is ultimately captured in the cellular energy currency ATP.,0.036,
13:59:07.651,Viewed note card for:,To summarize the energy originally contained in glucose and other fuel molecules is ultimately captured in the cellular energy currency ATP.,0.003,
13:59:07.654,Viewed suggested questions (blue card) for:,To summarize the energy originally contained in glucose and other fuel molecules is ultimately captured in the cellular energy currency ATP.,0.313,
13:59:07.967,Closed suggested questions (blue) card.,,18.895,
13:59:26.862,Created highlight:, NADH to oxygen about 2.5 molecules of ATP are formed. FADH2 oxidation produces about 1.5 ATP molecules because it enters the electron transport chain at a later step than NADH (see Figure 9.8).,0.039,
13:59:26.901,Viewed note card for:, NADH to oxygen about 2.5 molecules of ATP are formed. FADH2 oxidation produces about 1.5 ATP molecules because it enters the electron transport chain at a later step than NADH (see Figure 9.8).,0.003,
13:59:26.904,Viewed suggested questions (blue card) for:, NADH to oxygen about 2.5 molecules of ATP are formed. FADH2 oxidation produces about 1.5 ATP molecules because it enters the electron transport chain at a later step than NADH (see Figure 9.8).,0.388,
13:59:27.292,Closed suggested questions (blue) card.,,0.0,
13:59:27.292,Viewed note card for:, NADH to oxygen about 2.5 molecules of ATP are formed. FADH2 oxidation produces about 1.5 ATP molecules because it enters the electron transport chain at a later step than NADH (see Figure 9.8).,0.531,
13:59:27.823,Closed note card.,,91.472,
14:00:59.295,Created highlight:,ATP synthesis is a reversible reaction and ATP synthase can also act as an ATPase hydrolyzing ATP to ADP and Pi: ATP ⇋ ADP + Pi + free energy If the reaction goes to the right free energy is released. In the mitochondrion it is used to transfer H+ out of the mitochondrial matrix—not the usual mode of operation. If the reaction goes to the left it uses the free energy from H+ diffusion into the matrix to make ATP. What makes it prefer ATP synthesis? There are two answers to this question:,0.036,
14:00:59.331,Viewed note card for:,ATP synthesis is a reversible reaction and ATP synthase can also act as an ATPase hydrolyzing ATP to ADP and Pi: ATP ⇋ ADP + Pi + free energy If the reaction goes to the right free energy is released. In the mitochondrion it is used to transfer H+ out of the mitochondrial matrix—not the usual mode of operation. If the reaction goes to the left it uses the free energy from H+ diffusion into the matrix to make ATP. What makes it prefer ATP synthesis? There are two answers to this question:,0.003,
14:00:59.334,Viewed suggested questions (blue card) for:,ATP synthesis is a reversible reaction and ATP synthase can also act as an ATPase hydrolyzing ATP to ADP and Pi: ATP ⇋ ADP + Pi + free energy If the reaction goes to the right free energy is released. In the mitochondrion it is used to transfer H+ out of the mitochondrial matrix—not the usual mode of operation. If the reaction goes to the left it uses the free energy from H+ diffusion into the matrix to make ATP. What makes it prefer ATP synthesis? There are two answers to this question:,4.983,
14:01:04.317,Closed suggested questions (blue) card.,,0.009,
14:01:04.326,Deleted highlight:,ATP synthesis is a reversible reaction and ATP synthase can also act as an ATPase hydrolyzing ATP to ADP and Pi: ATP ⇋ ADP + Pi + free energy If the reaction goes to the right free energy is released. In the mitochondrion it is used to transfer H+ out of the mitochondrial matrix—not the usual mode of operation. If the reaction goes to the left it uses the free energy from H+ diffusion into the matrix to make ATP. What makes it prefer ATP synthesis? There are two answers to this question:,28.394,
14:01:32.720,Created highlight:,ATP synthesis is a reversible reaction and ATP synthase can also act as an ATPase hydrolyzing ATP to ADP and Pi:,0.037,
14:01:32.757,Viewed note card for:,ATP synthesis is a reversible reaction and ATP synthase can also act as an ATPase hydrolyzing ATP to ADP and Pi:,0.003,
14:01:32.760,Viewed suggested questions (blue card) for:,ATP synthesis is a reversible reaction and ATP synthase can also act as an ATPase hydrolyzing ATP to ADP and Pi:,0.565,
14:01:33.325,Closed suggested questions (blue) card.,,26.714,
14:02:00.039,Created highlight:,What makes it prefer ATP synthesis? There are two answers to this question:,0.033,
14:02:00.072,Viewed note card for:,What makes it prefer ATP synthesis? There are two answers to this question:,0.002,
14:02:00.074,Viewed suggested questions (blue card) for:,What makes it prefer ATP synthesis? There are two answers to this question:,0.52,
14:02:00.594,Closed suggested questions (blue) card.,,17.838,
14:02:18.432,Created highlight:,ATP leaves the mitochondrial matrix for use elsewhere in the cell as soon as it is made keeping the ATP concentration in the matrix low and driving the reaction toward the left.,0.042,
14:02:18.474,Viewed note card for:,ATP leaves the mitochondrial matrix for use elsewhere in the cell as soon as it is made keeping the ATP concentration in the matrix low and driving the reaction toward the left.,0.003,
14:02:18.477,Viewed suggested questions (blue card) for:,ATP leaves the mitochondrial matrix for use elsewhere in the cell as soon as it is made keeping the ATP concentration in the matrix low and driving the reaction toward the left.,0.458,
14:02:18.935,Closed suggested questions (blue) card.,,9.216,
14:02:28.151,Created highlight:,The H+ gradient is maintained by electron and proton transport.,0.047,
14:02:28.198,Viewed note card for:,The H+ gradient is maintained by electron and proton transport.,0.003,
14:02:28.201,Viewed suggested questions (blue card) for:,The H+ gradient is maintained by electron and proton transport.,0.706,
14:02:28.907,Closed suggested questions (blue) card.,,23.473,
14:02:52.380,Viewed glossary popup:,Chemiosmosis,73.04,
14:04:05.420,App stopped.,,92.744,
14:05:38.164,Logging started.,,32.89,
14:06:11.054,Created highlight:,As you have seen the coupling of electron transport (which generates the proton gradient) with chemiosmosis is vital for the capture of free energy in the form of ATP.,0.281,
14:06:11.335,Viewed note card for:,As you have seen the coupling of electron transport (which generates the proton gradient) with chemiosmosis is vital for the capture of free energy in the form of ATP.,0.014,
14:06:11.349,Viewed suggested questions (blue card) for:,As you have seen the coupling of electron transport (which generates the proton gradient) with chemiosmosis is vital for the capture of free energy in the form of ATP.,0.452,
14:06:11.801,Closed suggested questions (blue) card.,,25.403,
14:06:37.204,Open page:,chapter9-3,7.98,
14:06:45.184,Open page:,chapter9-2,5.229,
14:06:50.413,Open page:,chapter9-3,26.843,
14:07:17.256,Created highlight:,it appears that the leaner mice make more UCP1 and burn off more fat than normal mice do,0.044,
14:07:17.300,Viewed note card for:,it appears that the leaner mice make more UCP1 and burn off more fat than normal mice do,0.003,
14:07:17.303,Viewed suggested questions (blue card) for:,it appears that the leaner mice make more UCP1 and burn off more fat than normal mice do,0.283,
14:07:17.586,Closed suggested questions (blue) card.,,50.858,
14:08:08.444,Created highlight:,Now that we have established that the H+ gradient is needed for ATP synthesis a question remains: How does the enzyme ATP synthase actually make ATP from ADP and Pi?,0.037,
14:08:08.481,Viewed note card for:,Now that we have established that the H+ gradient is needed for ATP synthesis a question remains: How does the enzyme ATP synthase actually make ATP from ADP and Pi?,0.002,
